MODELS	PERIODS	VARIABLES	SIZE	TOP_ALL	LEF_ALL	RIG_ALL	BOT_ALL	CEX_ALL	CEY_ALL	ROW_ALL	COLUMN_ALL	MEAN_ALL	STD_ALL	MIN_ALL	MAX_ALL
bcc_csm1_1	2060_2089	bio	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	110.421669553	33.4894763325	9.0	221.0
bcc_csm1_1	2060_2089	bio	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	38.024635644	20.3028735307	6.0	96.0
bcc_csm1_1	2060_2089	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	7967.51445255	4885.00840481	69.0	21985.0
bcc_csm1_1	2060_2089	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	285.818786108	104.376994934	-68.0	522.0
bcc_csm1_1	2060_2089	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	-56.1227388387	188.082100464	-524.0	273.0
bcc_csm1_1	2060_2089	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	341.941524946	131.591221438	53.0	702.0
bcc_csm1_1	2060_2089	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	174.097138114	109.9064379	-313.0	411.0
bcc_csm1_1	2060_2089	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	60.9831883052	194.96118814	-475.0	396.0
bcc_csm1_1	2060_2089	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	212.771716595	95.6274768191	-111.0	411.0
bcc_csm1_1	2060_2089	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.03935403284	192.198241092	-476.0	311.0
bcc_csm1_1	2060_2089	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	754.709381964	704.5514941	0.0	12918.0
bcc_csm1_1	2060_2089	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	132.607777976	128.51281422	0.0	3473.0
bcc_csm1_1	2060_2089	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	20.0017300765	28.5309183447	0.0	790.0
bcc_csm1_1	2060_2089	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	63.2533619553	35.1089082394	0.0	291.0
bcc_csm1_1	2060_2089	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	336.889895176	322.393337707	0.0	8493.0
bcc_csm1_1	2060_2089	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	74.1624942976	100.331679175	0.0	2628.0
bcc_csm1_1	2060_2089	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	216.201442117	186.905918243	0.0	6371.0
bcc_csm1_1	2060_2089	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	143.83773854	228.028980021	0.0	6319.0
bcc_csm1_1	2060_2089	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.49258084997	3.58928164614	0.0	12.0
bcc_csm1_1	2060_2089	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.49258084997	3.58928164614	0.0	12.0
bcc_csm1_1	2060_2089	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.49258084997	3.58928164614	0.0	12.0
bcc_csm1_1	2060_2089	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.49258084997	3.58928164614	0.0	12.0
bcc_csm1_1	2060_2089	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.49258084997	3.58928164614	0.0	12.0
bcc_csm1_1	2060_2089	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.49258084997	3.58928164614	0.0	12.0
bcc_csm1_1	2060_2089	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.49258084997	3.58928164614	0.0	12.0
bcc_csm1_1	2060_2089	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.49258084997	3.58928164614	0.0	12.0
bcc_csm1_1	2060_2089	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.49258084997	3.58928164614	0.0	12.0
bcc_csm1_1	2060_2089	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.49258084997	3.58928164614	0.0	12.0
bcc_csm1_1	2060_2089	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.49258084997	3.58928164614	0.0	12.0
bcc_csm1_1	2060_2089	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.49258084997	3.58928164614	0.0	12.0
bcc_csm1_1	2070_2099	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	57.3700191211	79.427837096	0.0	1133.0
bcc_csm1_1	2070_2099	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	54.1505903884	77.7849982428	0.0	962.0
bcc_csm1_1	2070_2099	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	57.9547348272	77.920058338	0.0	815.0
bcc_csm1_1	2070_2099	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	57.5361316661	71.8758459371	0.0	1227.0
bcc_csm1_1	2070_2099	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	59.539106513	75.5140678956	0.0	1548.0
bcc_csm1_1	2070_2099	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	66.3073055582	81.6600806524	0.0	2631.0
bcc_csm1_1	2070_2099	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	76.8952361481	99.1858456918	0.0	3574.0
bcc_csm1_1	2070_2099	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	75.2554981535	86.2299130714	0.0	2484.0
bcc_csm1_1	2070_2099	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	68.7301175387	81.9769058	0.0	1391.0
bcc_csm1_1	2070_2099	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	63.0222761709	71.7065746228	0.0	1448.0
bcc_csm1_1	2070_2099	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	58.4318186976	69.6575913959	0.0	1209.0
