rcp	gcm	ensemble	pr	tas	tasmax	tasmin	hur	rsds	sfcWind
rcp85	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	ec_earth	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp85	ec_earth	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp85	ec_earth	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp85	ec_earth	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp85	ec_earth	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp85	ec_earth	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp85	ec_earth	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp85	fgoals_g2	r1i1p1	20060101-21001231.nc	N/A	N/A	N/A	20060101-21001231.nc	N/A	N/A
rcp85	fgoals_g2	r1i1p1	20060101-21001231.nc	N/A	N/A	N/A	20060101-21001231.nc	N/A	N/A
rcp85	fgoals_g2	r1i1p1	20060101-21001231.nc	N/A	N/A	N/A	20060101-21001231.nc	N/A	N/A
rcp85	fgoals_g2	r1i1p1	20060101-21001231.nc	N/A	N/A	N/A	20060101-21001231.nc	N/A	N/A
rcp85	fgoals_g2	r1i1p1	20060101-21001231.nc	N/A	N/A	N/A	20060101-21001231.nc	N/A	N/A
rcp85	fgoals_g2	r1i1p1	20060101-21001231.nc	N/A	N/A	N/A	20060101-21001231.nc	N/A	N/A
rcp85	fgoals_g2	r1i1p1	20060101-21001231.nc	N/A	N/A	N/A	20060101-21001231.nc	N/A	N/A
rcp85	gfdl_cm3	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfdl_cm3	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfdl_cm3	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfdl_cm3	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfdl_cm3	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfdl_cm3	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfdl_cm3	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfdl_esm2g	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfdl_esm2g	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfdl_esm2g	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfdl_esm2g	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfdl_esm2g	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfdl_esm2g	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp85	gfdl_esm2g	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
