var	mon	model	scen	ensemble	un	period
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	196101-196112.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	196201-196212.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	196301-196312.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	196401-196412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	196501-196512.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	196601-196612.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	196701-196712.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	196801-196812.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	196901-196912.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	197001-197012.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	197101-197112.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	197201-197212.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	197301-197312.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	197401-197412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	197501-197512.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	197601-197612.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	197701-197712.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	197801-197812.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	197901-197912.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	198001-198012.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	198101-198112.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	198201-198212.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	198301-198312.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	198401-198412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	198501-198512.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	198601-198612.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	198701-198712.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	198801-198812.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	198901-198912.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	199001-199012.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	199101-199112.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	199201-199212.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	199301-199312.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	199401-199412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	199501-199512.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	199601-199612.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	199701-199712.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	199801-199812.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	199901-199912.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	200001-200012.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	200101-200112.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	200201-200212.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	200301-200312.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	200401-200412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	200501-200512.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	200601-200612.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	200701-200712.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	200801-200812.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	200901-200912.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	201001-201012.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	201101-201112.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	201201-201212.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	201301-201312.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	201401-201412.nc
tasmax	Amon	AWI-CM-1-1-MR	ssp370	r1i1p1f1	gn	201501-201512.nc
tasmax	Amon	AWI-CM-1-1-MR	ssp370	r1i1p1f1	gn	201601-201612.nc
tasmax	Amon	AWI-CM-1-1-MR	ssp370	r1i1p1f1	gn	201701-201712.nc
tasmax	Amon	AWI-CM-1-1-MR	ssp370	r1i1p1f1	gn	201801-201812.nc
tasmax	Amon	AWI-CM-1-1-MR	ssp370	r1i1p1f1	gn	201901-201912.nc
tasmax	Amon	AWI-CM-1-1-MR	ssp370	r1i1p1f1	gn	202001-202012.nc
tasmax	Amon	AWI-CM-1-1-MR	ssp370	r1i1p1f1	gn	202101-202112.nc
tasmax	Amon	AWI-CM-1-1-MR	ssp370	r1i1p1f1	gn	202201-202212.nc
tasmax	Amon	AWI-CM-1-1-MR	ssp370	r1i1p1f1	gn	202301-202312.nc
tasmax	Amon	AWI-CM-1-1-MR	ssp370	r1i1p1f1	gn	202401-202412.nc
tasmax	Amon	AWI-CM-1-1-MR	ssp370	r1i1p1f1	gn	202501-202512.nc
tasmax	Amon	AWI-CM-1-1-MR	ssp370	r1i1p1f1	gn	202601-202612.nc
tasmax	Amon	AWI-CM-1-1-MR	ssp370	r1i1p1f1	gn	202701-202712.nc
tasmax	Amon	AWI-CM-1-1-MR	ssp370	r1i1p1f1	gn	202801-202812.nc
