idrow,idcell,x,y,P1,P2,P3,P4,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19
1361,1361,-102.9999988,19.6666677,196.5,151,63.75,2055.625,74.375,234.9375,210.8125,189.9375,219.875,166.8125,1017.4375,236.4375,5.3125,102.6875,639.25,19.75,362.1875,43.125
1362,1362,-102.3333321,19.6666677,163.0625,154.75,64.375,2099.125,40.3125,238.5625,175.75,158.25,187.1875,133.3125,1067.3125,239.375,5.6875,100.875,665.4375,24.9375,357.4375,39.625
1363,1363,-101.6666653,19.6666677,151.5,151.125,65.125,1982,35.5,230.25,162.3125,149.3125,174.9375,123.125,1096.3125,251.5625,7,101.8125,689.8125,31.125,247,45.1875
1364,1364,-100.9999985,19.6666677,170.3125,151.5625,65.3125,1978.875,54.0625,230.4375,178.625,167.375,194.3125,142.4375,971.25,218.4375,7.375,99.6875,596.0625,32.6875,234.6875,42.1875
1365,1365,-100.3333317,19.6666677,147.4375,152.8125,68.625,1717.1875,31.8125,221.0625,158.1875,138.8125,166.375,122.375,928.5625,203.4375,8.375,93.8125,554.3125,38.125,280.3125,48.5625
1366,1366,-99.66666494,19.6666677,139.875,156.9375,68.1875,1846.6875,19.1875,228.25,153.125,116.9375,160.5625,113.8125,863.875,176,9.4375,87.8125,490.5625,37.6875,247.125,41.6875
1367,1367,-98.99999817,19.6666677,146.4375,168.9375,69.1875,1923.375,16.6875,242.9375,162.25,119.125,167.1875,119,666.3125,128.9375,6.6875,82.8125,363.625,25.1875,219.875,28.625
1368,1368,-98.33333139,19.6666677,132.3125,159.3125,69.4375,1776.625,13.8125,227.6875,145.0625,107.5625,152.4375,107.25,696,128.6875,8.375,78.625,362.1875,30.0625,235.75,35.5625
1369,1369,-97.66666461,19.6666677,152.25,137.9375,65.5,2047.0625,44.1875,208,167,128.6875,174.4375,123.1875,1224.1875,235.3125,28.5625,71.3125,579.3125,94.9375,368.125,107.0625
1370,1370,-96.99999783,19.6666677,190.3125,109.375,60.3125,2266.9375,98.5,179.375,206.3125,170.3125,214.3125,158.4375,1552.25,288.375,49.125,63.5,701.25,158.5625,438,183.6875
1371,1371,-96.33333106,19.6666677,247,97.5,58.83333206,2307.833252,158.8333282,164.1666718,266.6666565,226.1666718,269.6666565,213.8333282,1147.5,240.1666718,25.33333397,82.16666412,613.5,82.5,487.5,92.16666412
1380,1380,-90.33333006,19.6666677,263.0666809,119,63.26666641,2169.466553,167.8000031,186.4666595,277.3333435,262.6000061,286.4666748,232.3999939,1188.466675,224.8000031,20.53333282,75.19999695,610.2666626,71.06666565,288.6666565,107.9333344
1381,1381,-89.66666328,19.6666677,259.1875,131.5,64.5625,2226.6875,156.4375,202.0625,272.5,244.9375,282.625,227.625,1046.0625,199.0625,23.625,68.1875,480.3125,78.125,285.375,97.6875
1382,1382,-88.9999965,19.6666677,257.75,127.8125,65.9375,1987.8125,160,192.5,272.375,240.6875,277.9375,229.75,1123.5,200.4375,27.9375,62.625,510.875,96.125,284.1875,104.5
1383,1383,-88.33332972,19.6666677,259.0625,121.0625,68.25,1764.125,166.5,176,272.3125,251,275.9375,233.3125,1209.4375,201.25,37.0625,55.25,514.75,123.125,376.75,144.3125
