ID	Fileset	GCM	Ensemble	iYear	iMonth	iDay	fYear	fMonth	fDay	ncol	res_x	nrow	res_y	has_leap	pr_unit	tas_unit	naming	srad_naming	Notes
83	1	miroc_miroc4h	r1i1p1	1967	1	1	1967	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19670101-19671231.nc	rsds_day_MIROC4h_historical_1967_10101-11231.nc	NA
84	1	miroc_miroc4h	r1i1p1	1968	1	1	1968	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19680101-19681231.nc	rsds_day_MIROC4h_historical_1968_10101-11231.nc	NA
85	1	miroc_miroc4h	r1i1p1	1969	1	1	1969	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19690101-19691231.nc	rsds_day_MIROC4h_historical_1969_10101-11231.nc	NA
86	1	miroc_miroc4h	r1i1p1	1970	1	1	1970	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19700101-19701231.nc	rsds_day_MIROC4h_historical_1970_10101-11231.nc	NA
87	1	miroc_miroc4h	r1i1p1	1971	1	1	1971	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19710101-19711231.nc	rsds_day_MIROC4h_historical_1971_10101-11231.nc	NA
88	1	miroc_miroc4h	r1i1p1	1972	1	1	1972	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19720101-19721231.nc	rsds_day_MIROC4h_historical_1972_10101-11231.nc	NA
89	1	miroc_miroc4h	r1i1p1	1973	1	1	1973	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19730101-19731231.nc	rsds_day_MIROC4h_historical_1973_10101-11231.nc	NA
90	1	miroc_miroc4h	r1i1p1	1974	1	1	1974	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19740101-19741231.nc	rsds_day_MIROC4h_historical_1974_10101-11231.nc	NA
91	1	miroc_miroc4h	r1i1p1	1975	1	1	1975	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19750101-19751231.nc	rsds_day_MIROC4h_historical_1975_10101-11231.nc	NA
92	1	miroc_miroc4h	r1i1p1	1976	1	1	1976	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19760101-19761231.nc	rsds_day_MIROC4h_historical_1976_10101-11231.nc	NA
93	1	miroc_miroc4h	r1i1p1	1977	1	1	1977	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19770101-19771231.nc	rsds_day_MIROC4h_historical_1977_10101-11231.nc	NA
94	1	miroc_miroc4h	r1i1p1	1978	1	1	1978	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19780101-19781231.nc	rsds_day_MIROC4h_historical_1978_10101-11231.nc	NA
95	1	miroc_miroc4h	r1i1p1	1979	1	1	1979	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19790101-19791231.nc	rsds_day_MIROC4h_historical_1979_10101-11231.nc	NA
96	1	miroc_miroc4h	r1i1p1	1980	1	1	1980	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19800101-19801231.nc	rsds_day_MIROC4h_historical_1980_10101-11231.nc	NA
97	1	miroc_miroc4h	r1i1p1	1981	1	1	1981	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19810101-19811231.nc	rsds_day_MIROC4h_historical_1981_10101-11231.nc	NA
98	1	miroc_miroc4h	r1i1p1	1982	1	1	1982	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19820101-19821231.nc	rsds_day_MIROC4h_historical_1982_10101-11231.nc	NA
99	1	miroc_miroc4h	r1i1p1	1983	1	1	1983	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19830101-19831231.nc	rsds_day_MIROC4h_historical_1983_10101-11231.nc	NA
100	1	miroc_miroc4h	r1i1p1	1984	1	1	1984	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19840101-19841231.nc	rsds_day_MIROC4h_historical_1984_10101-11231.nc	NA
101	1	miroc_miroc4h	r1i1p1	1985	1	1	1985	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19850101-19851231.nc	rsds_day_MIROC4h_historical_1985_10101-11231.nc	NA
102	1	miroc_miroc4h	r1i1p1	1986	1	1	1986	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19860101-19861231.nc	rsds_day_MIROC4h_historical_1986_10101-11231.nc	NA
103	1	miroc_miroc4h	r1i1p1	1987	1	1	1987	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19870101-19871231.nc	rsds_day_MIROC4h_historical_1987_10101-11231.nc	NA
104	1	miroc_miroc4h	r1i1p1	1988	1	1	1988	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19880101-19881231.nc	rsds_day_MIROC4h_historical_1988_10101-11231.nc	NA
105	1	miroc_miroc4h	r1i1p1	1989	1	1	1989	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19890101-19891231.nc	rsds_day_MIROC4h_historical_1989_10101-11231.nc	NA
106	1	miroc_miroc4h	r1i1p1	1990	1	1	1990	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19900101-19901231.nc	rsds_day_MIROC4h_historical_1990_10101-11231.nc	NA
107	1	miroc_miroc4h	r1i1p1	1991	1	1	1991	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19910101-19911231.nc	rsds_day_MIROC4h_historical_1991_10101-11231.nc	NA
108	1	miroc_miroc4h	r1i1p1	1992	1	1	1992	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19920101-19921231.nc	rsds_day_MIROC4h_historical_1992_10101-11231.nc	NA
109	1	miroc_miroc4h	r1i1p1	1993	1	1	1993	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19930101-19931231.nc	rsds_day_MIROC4h_historical_1993_10101-11231.nc	NA
110	1	miroc_miroc4h	r1i1p1	1994	1	1	1994	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19940101-19941231.nc	rsds_day_MIROC4h_historical_1994_10101-11231.nc	NA
111	1	miroc_miroc4h	r1i1p1	1995	1	1	1995	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19950101-19951231.nc	rsds_day_MIROC4h_historical_1995_10101-11231.nc	NA
112	1	miroc_miroc4h	r1i1p1	1996	1	1	1996	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19960101-19961231.nc	rsds_day_MIROC4h_historical_1996_10101-11231.nc	NA
113	1	miroc_miroc4h	r1i1p1	1997	1	1	1997	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19970101-19971231.nc	rsds_day_MIROC4h_historical_1997_10101-11231.nc	NA
114	1	miroc_miroc4h	r1i1p1	1998	1	1	1998	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19980101-19981231.nc	rsds_day_MIROC4h_historical_1998_10101-11231.nc	NA
115	1	miroc_miroc4h	r1i1p1	1999	1	1	1999	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_19990101-19991231.nc	rsds_day_MIROC4h_historical_1999_10101-11231.nc	NA
116	1	miroc_miroc4h	r1i1p1	2000	1	1	2000	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_20000101-20001231.nc	rsds_day_MIROC4h_historical_2000_10101-11231.nc	NA
117	1	miroc_miroc4h	r1i1p1	2001	1	1	2001	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_20010101-20011231.nc	rsds_day_MIROC4h_historical_2001_10101-11231.nc	NA
118	1	miroc_miroc4h	r1i1p1	2002	1	1	2002	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_20020101-20021231.nc	rsds_day_MIROC4h_historical_2002_10101-11231.nc	NA
119	1	miroc_miroc4h	r1i1p1	2003	1	1	2003	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_20030101-20031231.nc	rsds_day_MIROC4h_historical_2003_10101-11231.nc	NA
120	1	miroc_miroc4h	r1i1p1	2004	1	1	2004	12	31	640	0.5625	320	0.5625	yes	kg m-2 s-1	K	%var%_day_MIROC4h_historical_r1i1p1_20040101-20041231.nc	rsds_day_MIROC4h_historical_2004_10101-11231.nc	NA
