"CELL30M","SoilProfile","repre","acum"
15032,"WI_GLIE007",0.722222222222222,0.722222222222222
15635,"WI_LVBR054",0.722222222222222,0.722222222222222
27453,"HC_GEN0001",0.722222222222222,0.722222222222222
22418,"WI_CLSY005",0.721212121212121,0.721212121212121
2914,"WI_CMRU004",0.72,0.72
8907,"WI_CMTH046",0.72,0.72
29440,"WI_CLBW186",0.719444444444444,0.719444444444444
2924,"WI_VRUS115",0.719166666666667,0.719166666666667
5079,"WI_ACBR009",0.718055555555556,0.718055555555556
23152,"WI_PLAR020",0.716666666666667,0.716666666666667
3645,"WI_VRUS115",0.715555555555556,0.715555555555556
15587,"WI_GLPH030",0.715277777777778,0.715277777777778
23677,"WI_FLYE190",0.714285714285714,0.714285714285714
3857,"WI_GLCU001",0.713157894736842,0.713157894736842
8033,"WI_FLYE132",0.7125,0.7125
411,"WI_CMSL008",0.711111111111111,0.711111111111111
12201,"WI_NTUY050",0.711111111111111,0.711111111111111
14204,"WI_LVLS007",0.711111111111111,0.711111111111111
15975,"WI_ACBD013",0.711111111111111,0.711111111111111
16152,"WI_ACBD013",0.711111111111111,0.711111111111111
16335,"WI_ACBD013",0.711111111111111,0.711111111111111
18139,"WI_FRAO009",0.711111111111111,0.711111111111111
21913,"WI_FRAO009",0.711111111111111,0.711111111111111
24231,"WI_PLAR020",0.711111111111111,0.711111111111111
3817,"WI_LVIT035",0.710277777777778,0.710277777777778
4561,"WI_CLDE040",0.71,0.71
4891,"WI_ACBR009",0.709090909090909,0.709090909090909
2565,"WI_VRUS115",0.708333333333333,0.708333333333333
3455,"WI_LVIT035",0.708333333333333,0.708333333333333
12145,"WI_FLPE010",0.708333333333333,0.708333333333333
16305,"WI_GLPH030",0.708333333333333,0.708333333333333
17219,"WI_ACMY002",0.708333333333333,0.708333333333333
8556,"WI_LVCR016",0.705882352941177,0.705882352941177
1839,"WI_LVIT035",0.705555555555556,0.705555555555556
25655,"WI_FRBR097",0.702777777777778,0.702777777777778
3,"WI_LVIT014",0.7,0.7
35,"HC_GEN0025",0.7,0.7
47,"WI_VRSD037",0.7,0.7
214,"HC_GEN0025",0.7,0.7
389,"WI_CMYE112",0.7,0.7
405,"WI_CMMX014",0.7,0.7
410,"WI_CMSL008",0.7,0.7
1093,"WI_CMRU004",0.7,0.7
1274,"WI_CMRU004",0.7,0.7
1456,"WI_CMCA014",0.7,0.7
1475,"WI_ACBR009",0.7,0.7
1488,"WI_GLCU004",0.7,0.7
1667,"WI_GLCU004",0.7,0.7
1846,"WI_GLCU004",0.7,0.7
2201,"WI_LVIT035",0.7,0.7
2206,"WI_ACGH006",0.7,0.7
3099,"WI_LVIT035",0.7,0.7
4026,"WI_CLDE040",0.7,0.7
4031,"WI_CMJM037",0.7,0.7
4032,"WI_CMJM037",0.7,0.7
4222,"WI_VRBW468",0.7,0.7
4223,"WI_VRBW468",0.7,0.7
4349,"WI_ACBR009",0.7,0.7
4403,"WI_VRBW468",0.7,0.7
4404,"WI_VRBW468",0.7,0.7
6898,"WI_PHGT002",0.7,0.7
6899,"WI_PHGT002",0.7,0.7
7832,"WI_PZBI008",0.7,0.7
7833,"WI_PZBI008",0.7,0.7
8209,"WI_ALID018",0.7,0.7
8548,"HC_GEN0007",0.7,0.7
8567,"WI_ACPA012",0.7,0.7
9123,"WI_CMBR109",0.7,0.7
9472,"WI_LVIL004",0.7,0.7
9473,"WI_LVIL004",0.7,0.7
9652,"WI_LVIL004",0.7,0.7
10345,"WI_GLZM019",0.7,0.7
10724,"WI_FRSR010",0.7,0.7
10884,"WI_GLZM019",0.7,0.7
11242,"WI_GLZM019",0.7,0.7
11481,"WI_CMBR112",0.7,0.7
