"GS","VARIABLE","TYPE","TEST.AV.SUIT","TEST.SD.SUIT","TEST.MAX.SUIT","TEST.MIN.SUIT","TEST.OMISSION.RATE","TEST.ERROR","TEST.ERR.DIST","TEST.MXE","TEST.SLOPE","TRAIN.AV.SUIT","TRAIN.SD.SUIT","TRAIN.MAX.SUIT","TRAIN.MIN.SUIT","TRAIN.OMISSION.RATE","TRAIN.ERROR","TRAIN.ERR.DIST","TRAIN.MXE","TRAIN.SLOPE"
"4","tmax","_psuitability",99.9674902470741,0.901523057468274,100,75,0,0.00901523057468274,0,NA,NA,99.9607843137255,1.14996682835838,100,60,0,0.0115044748327106,0.0666666666666667,NA,NA
"4","tmax","_tsuitability",67.2691807542263,44.5378654382033,100,0,0.299089726918075,0.552480633556631,0.633333333333333,0.998505217549098,0.00119525128388460,65.814705882353,44.7167904655234,100,0,0.308823529411765,0.562811888842287,0.633333333333333,0.999988906584093,0.0010927086081251
"4","tmax","_suitability",67.2366710013004,44.5230646845356,100,0,0.299089726918075,0.552554182716457,0.633333333333333,0.998671219902784,0.00119692807533597,65.7754901960784,44.7015849518759,100,0,0.308823529411765,0.562929458425653,0.633333333333333,0.99999876740104,0.00109280821233669
"5","tmean","_psuitability",99.9674902470741,0.901523057468274,100,75,0,0.00901523057468274,0,NA,NA,99.9607843137255,1.14996682835838,100,60,0,0.0115044748327106,0.0666666666666667,NA,NA
"5","tmean","_tsuitability",88.3224967490247,30.5255191398628,100,0,0.0910273081924577,0.326643488823269,0.566666666666667,0.664413099428006,0.00226791439520129,89.8794117647059,28.5725935694067,100,0,0.0833333333333333,0.303076329392298,0.633333333333333,0.640836441447595,0.00229312718327233
"5","tmean","_suitability",88.3224967490247,30.5255191398628,100,0,0.0910273081924577,0.326643488823269,0.566666666666667,0.664413099428006,0.00226791439520129,89.8794117647059,28.5725935694067,100,0,0.0833333333333333,0.303076329392298,0.633333333333333,0.640836441447595,0.00229312718327233
"5","tmin","_psuitability",99.9674902470741,0.901523057468274,100,75,0,0.00901523057468274,0,NA,NA,99.9607843137255,1.14996682835838,100,60,0,0.0115044748327106,0.0666666666666667,NA,NA
"5","tmin","_tsuitability",37.7360208062419,45.8212021666779,100,0,0.538361508452536,0.772894261630851,0.2,0.99574966895806,0.00101186101509855,39.1388888888889,46.0457792449784,100,0,0.52483660130719,0.763124875209424,0.2,0.998219394935603,0.000888557334922785
"5","tmin","_suitability",37.7360208062419,45.8212021666779,100,0,0.538361508452536,0.772894261630851,0.2,0.99574966895806,0.00101186101509855,39.1388888888889,46.0457792449784,100,0,0.52483660130719,0.763124875209424,0.2,0.998219394935603,0.000888557334922785
"5","tmax","_psuitability",99.9674902470741,0.901523057468274,100,75,0,0.00901523057468274,0,NA,NA,99.9607843137255,1.14996682835838,100,60,0,0.0115044748327106,0.0666666666666667,NA,NA
"5","tmax","_tsuitability",68.3224967490247,44.9841989157466,100,0,0.299089726918075,0.549946444963233,0.6,0.988963049089389,0.00109886574388754,66.9748366013072,45.2235125542795,100,0,0.308823529411765,0.55992491910316,0.6,0.994624119799892,0.00103851884262812
"5","tmax","_suitability",68.2899869960988,44.9703075202224,100,0,0.299089726918075,0.550020332996893,0.6,0.98942400261621,0.00110352184011805,66.9356209150327,45.2094841356233,100,0,0.308823529411765,0.560043094747053,0.6,0.994945370199998,0.00104176379616455
