rcp	gcm	ensemble	rsds
rcp45	mohc_hadgem2_es	r1i1p1	20051201-20991230.nc
rcp45	mohc_hadgem2_es	r1i1p1	20051201-20991230.nc
rcp45	mohc_hadgem2_es	r1i1p1	20051201-20991230.nc
rcp45	mohc_hadgem2_es	r1i1p1	20051201-20991230.nc
rcp45	mohc_hadgem2_es	r1i1p1	20051201-20991230.nc
rcp45	mohc_hadgem2_es	r1i1p1	20051201-20991230.nc
rcp45	mohc_hadgem2_es	r1i1p1	20051201-20991230.nc
rcp45	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp45	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp45	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp45	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp45	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp45	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp45	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp45	mpi_esm_mr	r1i1p1	20060101-21001231.nc
rcp45	mpi_esm_mr	r1i1p1	20060101-21001231.nc
rcp45	mpi_esm_mr	r1i1p1	20060101-21001231.nc
rcp45	mpi_esm_mr	r1i1p1	20060101-21001231.nc
rcp45	mpi_esm_mr	r1i1p1	20060101-21001231.nc
rcp45	mpi_esm_mr	r1i1p1	20060101-21001231.nc
rcp45	mpi_esm_mr	r1i1p1	20060101-21001231.nc
rcp45	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp45	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp45	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp45	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp45	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp45	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp45	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp45	ncar_ccsm4	r1i1p1	N/A
rcp45	ncar_ccsm4	r1i1p1	N/A
rcp45	ncar_ccsm4	r1i1p1	N/A
rcp45	ncar_ccsm4	r1i1p1	N/A
rcp45	ncar_ccsm4	r1i1p1	N/A
rcp45	ncar_ccsm4	r1i1p1	N/A
rcp45	ncar_ccsm4	r1i1p1	N/A
rcp45	ncc_noresm1_m	r1i1p1	20060101-21001231.nc
rcp45	ncc_noresm1_m	r1i1p1	20060101-21001231.nc
rcp45	ncc_noresm1_m	r1i1p1	20060101-21001231.nc
rcp45	ncc_noresm1_m	r1i1p1	20060101-21001231.nc
rcp45	ncc_noresm1_m	r1i1p1	20060101-21001231.nc
rcp45	ncc_noresm1_m	r1i1p1	20060101-21001231.nc
rcp45	ncc_noresm1_m	r1i1p1	20060101-21001231.nc
rcp60	CESM1_CAM5	r1i1p1	N/A
rcp60	CESM1_CAM5	r1i1p1	N/A
rcp60	CESM1_CAM5	r1i1p1	N/A
rcp60	CESM1_CAM5	r1i1p1	N/A
rcp60	CESM1_CAM5	r1i1p1	N/A
rcp60	CESM1_CAM5	r1i1p1	N/A
rcp60	CESM1_CAM5	r1i1p1	N/A
rcp60	bcc_csm1_1	r1i1p1	20060101-21001230.nc
rcp60	bcc_csm1_1	r1i1p1	20060101-21001230.nc
rcp60	bcc_csm1_1	r1i1p1	20060101-21001230.nc
rcp60	bcc_csm1_1	r1i1p1	20060101-21001230.nc
rcp60	bcc_csm1_1	r1i1p1	20060101-21001230.nc
rcp60	bcc_csm1_1	r1i1p1	20060101-21001230.nc
rcp60	bcc_csm1_1	r1i1p1	20060101-21001230.nc
rcp60	bcc_csm1_1_m	r1i1p1	20060101-21001230.nc
rcp60	bcc_csm1_1_m	r1i1p1	20060101-21001230.nc
rcp60	bcc_csm1_1_m	r1i1p1	20060101-21001230.nc
rcp60	bcc_csm1_1_m	r1i1p1	20060101-21001230.nc
rcp60	bcc_csm1_1_m	r1i1p1	20060101-21001230.nc
rcp60	bcc_csm1_1_m	r1i1p1	20060101-21001230.nc
rcp60	bcc_csm1_1_m	r1i1p1	20060101-21001230.nc
rcp60	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp60	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp60	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp60	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp60	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp60	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp60	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp60	gfdl_cm3	r1i1p1	20060101-21001231.nc
rcp60	gfdl_cm3	r1i1p1	20060101-21001231.nc
rcp60	gfdl_cm3	r1i1p1	20060101-21001231.nc
rcp60	gfdl_cm3	r1i1p1	20060101-21001231.nc
rcp60	gfdl_cm3	r1i1p1	20060101-21001231.nc
rcp60	gfdl_cm3	r1i1p1	20060101-21001231.nc
rcp60	gfdl_cm3	r1i1p1	20060101-21001231.nc
rcp60	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp60	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp60	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp60	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp60	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp60	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp60	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp60	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp60	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp60	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp60	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp60	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp60	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp60	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp60	ipsl_cm5a_lr	r1i1p1	20060101-21001231.nc
rcp60	ipsl_cm5a_lr	r1i1p1	20060101-21001231.nc
