"id","data_provider_id","data_resource_id","institution_code_id","collection_code_id","caralogue_number_id","rank_name","specie_name","genus_name","family_name","order_name","class_name","phylum_name","kingdom_name","specie_id","genus_id","family_id","order_id","class_id","phylum_id","kingdom_id","rank_id","latitude","longitude","iso_country_code","year_created","month_created","occurrence_date","basis_of_record","basis_of_record_name","altitude_metres","IsInRangeLongitude","IsInRangeLatitude","IsInRange","IsWithin","IsIndian","UID","IS_UNIQUE"
42304998,92,1430,7973,801126,40487636,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.44999981,77.51000214,"IN","null","null","null",0,"unknown","0",1,1,1,1,1,43,FALSE
42254103,92,1430,7973,801126,40482516,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.47000027,77.76999664,"IN","null","null","null",0,"unknown","420",1,1,1,1,1,44,TRUE
42304927,92,1430,7973,801126,40487617,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.60999966,78.41999817,"IN","null","null","null",0,"unknown","0",1,1,1,1,1,45,TRUE
42304977,92,1430,7973,801126,40487630,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.60999966,78.41999817,"IN","null","null","null",0,"unknown","0",1,1,1,1,1,46,FALSE
42254088,92,1430,7973,801126,40482504,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.67000008,76.68000031,"IN","null","null","null",0,"unknown","160",1,1,1,1,1,47,TRUE
42254148,92,1430,7973,801126,40482552,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.68999958,78.55000305,"IN","null","null","null",0,"unknown","150",1,1,1,1,1,48,TRUE
42254089,92,1430,7973,801126,40482505,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.69999981,76.69999695,"IN","null","null","null",0,"unknown","280",1,1,1,1,1,49,TRUE
42304925,92,1430,7973,801126,40487616,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.75,78.5,"IN","null","null","null",0,"unknown","0",1,1,1,1,1,50,TRUE
40160170,199,1429,25216,894252,3533416,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.75,78.05000305,"IN","0","0","null",4,"germplasm","null",1,1,1,1,1,51,FALSE
42249950,92,1430,7973,801126,40481991,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.77000046,76.65000153,"IN","null","null","null",0,"unknown","480",1,1,1,1,1,52,TRUE
