id,data_provider_id,data_resource_id,institution_code_id,collection_code_id,caralogue_number_id,rank_name,specie_name,genus_name,family_name,order_name,class_name,phylum_name,kingdom_name,specie_id,genus_id,family_id,order_id,class_id,phylum_id,kingdom_id,rank_id,latitude,longitude,iso_country_code,year_created,month_created,occurrence_date,basis_of_record,basis_of_record_name,altitude_metres,IsInRangeLongitude,IsInRangeLatitude,IsInRange
40143986,199,1429,25216,894252,2454568,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.83329964,29.04999924,ZW,0,0,null,4,germplasm,1000,1,1,1
40143988,199,1429,25216,894252,2454569,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.79999924,28.9666996,ZW,0,0,null,4,germplasm,1000,1,1,1
40143989,199,1429,25216,894252,2454570,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.79999924,28.9666996,ZW,null,null,null,4,germplasm,1000,1,1,1
40143991,199,1429,25216,894252,2454571,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.7833004,29.43330002,ZW,0,0,null,4,germplasm,1150,1,1,1
40144099,199,1429,25216,894252,2454815,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.60000038,32.08330154,ZW,0,0,null,4,germplasm,1320,1,1,1
40144101,199,1429,25216,894252,2454826,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.60000038,32.08330154,ZW,0,0,null,4,germplasm,1320,1,1,1
40143992,199,1429,25216,894252,2454575,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.58329964,29.41670036,ZW,0,0,null,4,germplasm,1150,1,1,1
40144110,199,1429,25216,894252,2454906,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.45000076,32.79999924,ZW,0,0,null,4,germplasm,800,1,1,1
40144114,199,1429,25216,894252,2454939,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.45000076,32.96670151,ZW,0,0,null,4,germplasm,750,1,1,1
40144112,199,1429,25216,894252,2454917,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.38330078,32.83330154,ZW,0,0,null,4,germplasm,750,1,1,1
